Date,Close,Adj Close,Volume,Open,High,Low
03/08/2022,14.75,13.91,29800,14.4,14.95,14.4
02/08/2022,14.8,13.95,54600,14.8,15.2,14.8
01/08/2022,15,14.14,75600,15.05,15.25,14.8
29/07/2022,15,14.14,318500,14.65,15.1,14.6
28/07/2022,14.65,13.81,94000,14,14.65,14
27/07/2022,14.1,13.29,17600,14.35,14.35,14
26/07/2022,14,13.2,32000,13.95,14,13.9
25/07/2022,13.95,13.15,42300,14.4,14.5,13.9
22/07/2022,14.7,13.86,53400,14.6,15.6,14.5
21/07/2022,14.6,13.77,135500,14.35,15,14.35
20/07/2022,14.35,13.53,171600,13.9,14.35,13.8
19/07/2022,13.8,13.01,25200,13.8,13.8,13.6
18/07/2022,13.8,13.01,33200,13.7,13.9,13.5
15/07/2022,13.8,13.01,41500,13.7,13.9,13.7
14/07/2022,13.85,13.06,24000,13.8,13.95,13.75
13/07/2022,13.8,13.01,33500,14,14,13.65
12/07/2022,13.7,12.92,47600,13.6,13.8,13.55
11/07/2022,13.7,12.92,42200,13.65,13.75,13.55
08/07/2022,13.65,12.87,68400,13.65,13.75,13.5
07/07/2022,13.4,12.63,63500,13.05,13.6,13.05
06/07/2022,13.4,12.63,86100,13.5,13.85,13.4
05/07/2022,13.9,13.11,52100,13.9,14,13.7
04/07/2022,13.9,13.11,37800,14.4,14.4,13.9
01/07/2022,14.4,13.58,70100,14.4,14.4,13.9
30/06/2022,14.4,13.58,125800,14.1,14.55,14.1
29/06/2022,14.2,13.39,99800,13.85,14.35,13.85
28/06/2022,14.1,13.29,158400,13.55,14.1,13.35
27/06/2022,13.55,12.78,61400,13.6,13.75,13.4
24/06/2022,13.5,12.73,62600,13.4,13.7,13.3
23/06/2022,13.35,12.59,219900,13,13.5,12.8
22/06/2022,13,12.26,234520,13.05,13.4,12.8
21/06/2022,13.05,12.3,150600,13.35,13.5,13.05
20/06/2022,13.35,12.59,165600,13.65,13.75,12.95
17/06/2022,13.65,12.87,148600,13.65,13.7,13.05
16/06/2022,13.75,12.96,37000,14.2,14.2,13.7
15/06/2022,13.45,12.68,286800,13.7,13.8,12.8
14/06/2022,13.65,12.87,312400,13.35,13.8,13.3
13/06/2022,13.35,12.59,349400,13.5,13.95,13.35
10/06/2022,14.3,13.48,48500,14.5,14.8,14.3
09/06/2022,14.7,13.86,84600,14.6,15,14.6
08/06/2022,15.05,14.19,292300,14.5,15.4,14.5
07/06/2022,14.5,13.67,161100,14.25,14.7,14
06/06/2022,15.55,13.72,140600,15.3,15.6,15
03/06/2022,15.25,13.45,162000,15.2,15.6,15.2
02/06/2022,15.4,13.59,199800,15.25,15.6,15.2
01/06/2022,15.3,13.5,64200,15.7,15.7,15.2
31/05/2022,15.55,13.72,110200,15.45,15.55,15.05
30/05/2022,15.45,13.63,108600,15.35,15.55,15.15
27/05/2022,15.3,13.5,306900,15.3,15.6,15.05
26/05/2022,15.25,13.45,135200,15,15.5,15
25/05/2022,15.2,13.41,97100,14.9,15.2,14.7
24/05/2022,14.7,12.97,109100,14.7,14.7,14
23/05/2022,14.7,12.97,87400,15,15.1,14.2
