Date,Close,Adj Close,Volume,Open,High,Low
23/07/2021,64.5,52.8,"870,100",63.5,64.9,63.4
22/07/2021,62,50.75,"501,300",58.2,62,58.2
21/07/2021,58.3,47.72,"160,600",58.6,59,58
20/07/2021,58.6,47.97,"176,300",56.9,59,55.9
19/07/2021,56.5,46.25,"280,700",55,58.1,55
16/07/2021,56.5,46.25,"124,900",57,57.6,56.5
15/07/2021,57.1,46.74,"134,500",55.5,57.1,55
14/07/2021,55.5,45.43,"305,000",56.3,56.5,54.4
13/07/2021,56.9,46.58,"220,600",55.1,57,55
12/07/2021,55.6,45.51,"718,500",58,58.3,55.6
09/07/2021,59.7,48.87,"304,700",61,61.4,58
08/07/2021,61.5,50.34,"258,200",61.1,62.1,60.9
07/07/2021,61.4,50.26,"252,500",63,63,60.1
06/07/2021,62,50.75,"249,700",64.6,65,62
05/07/2021,64.8,53.04,"236,500",64.6,65.2,63.4
02/07/2021,64.6,52.88,"370,600",62.5,65.5,62
01/07/2021,61.6,50.42,"378,100",60.2,61.7,59.5
30/06/2021,59.6,48.79,"296,300",60.2,60.3,59.2
29/06/2021,59.2,48.46,"193,900",58.5,59.4,58.5
28/06/2021,58.4,47.8,"285,400",58,58.5,57.6
25/06/2021,58.2,47.64,"132,400",58.6,58.9,58
24/06/2021,58.7,48.05,"167,200",59,59.2,58.6
23/06/2021,59,48.29,"437,200",60.3,60.5,58.5
22/06/2021,60.2,49.28,"259,800",60.1,61.5,59.5
21/06/2021,59.7,48.87,"243,900",60.5,60.5,59
18/06/2021,60.3,49.36,"242,800",60.3,60.9,60.3
17/06/2021,60.3,49.36,"339,500",58.5,60.9,58
16/06/2021,59,48.29,"229,000",60,60,58.5
15/06/2021,60.8,48.95,"184,200",60.5,60.9,59
14/06/2021,60,48.31,"315,100",60.5,61.5,59.7
11/06/2021,60.7,48.87,"525,600",57.9,61,57.6
10/06/2021,57.9,46.62,"332,000",58,58.2,57.5
09/06/2021,58,46.7,"263,800",57.2,58.5,56.1
08/06/2021,57.3,46.13,"419,400",57.1,58.5,57.1
07/06/2021,57.6,46.38,"378,500",58,58.7,57.3
04/06/2021,57.9,46.62,"395,100",58.1,58.7,57
03/06/2021,58.8,47.34,"447,800",59.3,59.6,58.1
02/06/2021,56.7,45.65,"282,700",52.6,56.7,52.5
01/06/2021,53,42.67,"662,900",54.5,55,52.1
31/05/2021,55.9,45.01,"835,900",58.6,59,55.4
28/05/2021,59.5,47.9,"396,100",58.1,59.8,58.1
27/05/2021,58.5,47.1,"530,000",60,61.5,58.5
26/05/2021,60.4,48.63,"699,800",61.5,62.2,60.2
25/05/2021,62.5,50.32,"657,800",64.5,65.5,61.8
24/05/2021,62.3,50.16,"1,142,600",59.5,62.3,59
21/05/2021,58.3,46.94,"2,023,600",58.4,61.3,58.3
20/05/2021,62.6,50.4,"1,205,400",64,68.9,62.5
19/05/2021,66.7,53.7,"1,298,000",70.5,70.5,66.7
18/05/2021,71.6,57.65,"1,235,700",73,74.1,70.7
17/05/2021,74,59.58,"1,353,800",78.6,78.6,74
14/05/2021,78.6,63.28,"244,800",81.5,81.5,78.6
13/05/2021,80,64.41,"307,600",80.1,82.6,80
12/05/2021,79.8,64.25,"707,000",75.6,80,75.6
11/05/2021,75.9,61.11,"322,400",77,77,75.6
10/05/2021,76,61.19,"435,000",77,77.5,75
07/05/2021,75.5,60.79,"365,900",76,79,75.2
06/05/2021,76.3,61.43,"364,300",76.5,78,76
05/05/2021,78,62.8,"437,500",79.1,81,78
04/05/2021,79.1,63.69,"861,200",72.7,79.1,72
29/04/2021,74,59.58,"504,000",72.1,74,72
28/04/2021,72,57.97,"112,700",70.2,72,70.2
27/04/2021,71.9,57.89,"261,800",70.1,72,69
26/04/2021,70.5,56.76,"230,800",71.6,72.5,70
23/04/2021,72.5,58.37,"254,700",70,72.6,69.4
22/04/2021,71.1,57.24,"321,900",72,72.9,70.7
20/04/2021,72,57.97,"327,900",74,74.4,71.5
19/04/2021,74,59.58,"300,700",71.1,74.8,71.1
16/04/2021,71.4,57.49,"341,800",72.1,72.1,69
15/04/2021,72,57.97,"167,600",73.2,73.2,71.2
14/04/2021,73.2,58.94,"196,100",71.5,73.4,70.8
13/04/2021,71.6,57.65,"420,700",73.1,73.4,71.5
12/04/2021,73.5,59.18,"246,100",74,74.2,73
09/04/2021,74.3,59.82,"144,800",74.4,74.4,73.5
08/04/2021,74.4,59.9,"145,400",74.4,74.5,73
07/04/2021,74.4,59.9,"309,500",73,74.7,72.6
06/04/2021,72.5,58.37,"166,600",73,73.4,72
05/04/2021,73.4,59.1,"181,100",74.2,74.3,72.9
02/04/2021,74.2,59.74,"473,600",73.3,74.9,73
01/04/2021,73,58.77,"419,600",71.3,73.5,70.8
31/03/2021,71.8,57.81,"189,500",72.1,72.1,70.8
30/03/2021,72.1,58.05,"271,600",73.2,73.2,71.9
29/03/2021,72.6,58.45,"576,600",69.7,73.3,69
26/03/2021,69,55.55,"473,000",69,69.6,64.2
25/03/2021,69,55.55,"509,100",69,69.9,68.4
24/03/2021,68.3,54.99,"459,000",68,69.7,67.5
23/03/2021,68.8,55.39,"359,700",68.5,69.5,68
22/03/2021,69.3,55.8,"605,000",70,70,68.2
19/03/2021,70.1,56.44,"373,000",71.3,71.3,69.9
18/03/2021,71.4,57.49,"202,000",72.2,72.5,71.3
17/03/2021,72.2,58.13,"382,100",70.9,72.9,70.3
16/03/2021,70.9,57.08,"400,700",71.5,71.5,69.9
15/03/2021,71.5,57.57,"408,500",71,72.7,70.8
12/03/2021,71.1,57.24,"516,400",72.8,72.8,70.5
11/03/2021,71.8,57.81,"633,800",71.5,73,70.6
10/03/2021,69.4,55.88,"615,800",68,70.5,67
09/03/2021,68,54.75,"725,200",65.1,68.4,64.6
08/03/2021,65.5,52.74,"451,400",67,67.6,65
05/03/2021,65.5,52.74,"574,600",65.4,66.9,63.6
04/03/2021,65.9,53.06,"554,000",69,69,63
03/03/2021,67.6,54.43,"489,100",67,69,66.8
02/03/2021,66.8,53.78,"849,400",68.9,69,66.4
01/03/2021,68.9,55.47,"423,200",69.5,70,68.5
26/02/2021,69.5,55.96,"656,900",65.9,70,65.9
25/02/2021,65.9,53.06,"944,700",62.8,65.9,61.6
24/02/2021,61.6,49.6,"659,800",61.4,63.9,61
23/02/2021,61,49.11,"517,200",61.1,61.8,60.5
22/02/2021,61.2,49.27,"625,600",60.8,62.8,60.6
19/02/2021,60.8,48.95,"707,700",60,61.4,59.5
18/02/2021,60.9,49.03,"725,100",60.3,62,59
17/02/2021,60.6,48.79,"759,800",59,61.5,57.7
09/02/2021,59,47.5,"691,600",56.4,60,56
08/02/2021,57.6,46.38,"1,963,600",57.6,57.6,55.2
05/02/2021,53.9,43.4,"1,361,800",51,53.9,50.6
04/02/2021,50.4,40.58,"653,100",51,51,49.15
03/02/2021,50,40.26,"691,300",49,50.2,48.5
02/02/2021,48.4,38.97,"583,100",47.1,49,46.9
01/02/2021,47.1,37.92,"1,098,100",49.2,49.2,46.8
29/01/2021,46,37.04,"649,300",41.9,48,41.9
28/01/2021,45.05,36.27,"771,100",45.05,46.95,45.05
27/01/2021,48.4,38.97,"658,400",50.5,51.9,48.2
26/01/2021,51.8,41.71,"551,200",52,53.5,48.6
25/01/2021,50.8,40.9,"750,700",47.9,50.8,47.8
22/01/2021,47.5,38.24,"432,800",47.2,49.3,47
21/01/2021,47.1,37.92,"498,800",46.5,47.3,45.5
20/01/2021,45.6,36.71,"520,300",44.2,46,42.45
19/01/2021,45.6,36.71,"507,900",49,49.3,45.6
18/01/2021,49,39.45,"530,000",48.9,50.9,48.4
15/01/2021,48.2,38.81,"445,800",46,48.9,45.6
14/01/2021,46.2,37.2,"310,500",46.7,46.7,45
13/01/2021,46.7,37.6,"486,400",47.95,47.95,46.6
12/01/2021,45.9,36.96,"659,600",43.1,46.1,42.6
11/01/2021,43.1,34.7,"315,300",43.6,43.8,42.65
08/01/2021,43.35,34.9,"331,300",44.3,44.3,43
07/01/2021,43.85,35.3,"376,100",42.15,44.2,42.1
06/01/2021,42.5,34.22,"304,900",41.7,43.2,41.5
05/01/2021,41.7,33.57,"587,400",42.75,42.85,41.45
04/01/2021,42.9,34.54,"292,700",42.5,43.5,42.5
31/12/2020,42,33.82,"315,380",42,42.6,41.1
30/12/2020,41.4,33.33,"257,420",41.4,42.45,41.2
29/12/2020,41.6,33.49,"214,620",41.4,42.5,41.4
28/12/2020,42,33.82,"303,740",43,43,41.9
25/12/2020,42.8,34.46,"194,260",42,43.3,42
24/12/2020,42.2,33.98,"256,750",43.7,44,40.9
23/12/2020,43.7,35.18,"104,620",44.7,45,43.6
22/12/2020,44.6,35.91,"375,300",42.7,44.8,42
21/12/2020,42.7,34.38,"781,980",44,44.4,42.7
18/12/2020,44,35.43,"444,120",45.1,45.25,43.7
17/12/2020,44.9,36.15,"641,890",46.1,46.2,44.9
16/12/2020,46.45,37.4,"223,860",46.5,47,46
15/12/2020,46.2,37.2,"205,800",45,46.4,44.7
14/12/2020,45,36.23,"356,300",44.5,46,44.5
11/12/2020,44.5,35.83,"430,600",41.4,44.5,41.4
10/12/2020,41.9,33.73,"375,620",42.4,42.85,39.55
09/12/2020,42.4,34.14,"545,830",41.25,42.6,41.2
08/12/2020,41,33.01,"335,710",41.1,41.25,40.55
07/12/2020,41.25,33.21,"386,150",41.25,41.55,40.55
04/12/2020,40.9,32.93,"270,960",41.7,41.8,40.75
03/12/2020,41.7,33.57,"721,280",39.65,41.8,39.4
02/12/2020,39.45,31.76,"290,340",38.9,40.4,38.9
01/12/2020,39.3,31.64,"353,340",38.5,39.6,38.5
30/11/2020,38.9,31.32,"333,650",40,40,38.7
27/11/2020,39.2,31.56,"207,540",38.8,39.6,38.8
26/11/2020,38.9,31.32,"339,690",38.9,39.5,38.5
25/11/2020,39.75,32,"454,540",40.7,40.8,38.7
24/11/2020,39.9,32.12,"317,790",39.65,40.8,39
23/11/2020,39.65,31.92,"459,710",38.25,40.5,38.2
20/11/2020,38.2,30.76,"445,260",37,38.5,36.9
19/11/2020,37.15,29.91,"302,830",37.4,38,36.8
18/11/2020,37.4,30.11,"416,100",37.75,38.5,36.9
17/11/2020,37.8,30.43,"525,060",36.9,38.2,36.6
16/11/2020,36.9,29.71,"602,910",38.1,38.5,36.6
13/11/2020,38,30.59,"442,910",37.4,38.8,37.4
12/11/2020,37.4,30.11,"440,460",37.5,37.5,36.5
11/11/2020,36.9,29.71,"497,140",35.7,38,35.6
10/11/2020,36,28.98,"576,830",38.5,38.5,35.9
09/11/2020,36.6,29.47,"591,520",35,36.6,34.6
06/11/2020,34.25,27.58,"1,015,170",32.3,34.25,32.3
05/11/2020,32.05,25.8,"473,570",31.75,32.95,31.4
04/11/2020,31.55,25.4,"447,860",31,31.8,30.5
03/11/2020,30.5,24.56,"272,830",30.5,30.9,30.15
02/11/2020,30.45,24.52,"212,510",30.9,31,30.4
30/10/2020,30.75,24.76,"644,540",30.7,31.9,30.5
29/10/2020,30.3,24.4,"830,510",28.9,30.95,28.5
28/10/2020,28.95,23.31,"458,180",29.7,29.75,28.9
27/10/2020,29.7,23.91,"489,400",31,31,29.5
26/10/2020,29.55,23.79,"437,420",27.65,29.55,27.65
